url,1_money,1_num,2_money,2_num,3_money,3_num,real_get_money,expected_money,real_time,whole_time,comment_num,share_num,video,image
http://www.zhongchou.cn/deal-show/id-101899,39,40,99,20,198,10,"10,324","20,000",28,30,1,2,0,1
http://www.zhongchou.cn/deal-show/id-82633,5,65,128,140,158,124,"79,152","100,000",48,70,92,55,1,1
http://www.zhongchou.cn/deal-show/id-75109,69,8,89,5,168,16,"20,913","60,000",58,70,17,13,0,1
http://www.zhongchou.cn/deal-show/id-98449,80,31,125,25,"2,000",2,"10,979","20,000",57,60,2,0,0,1
http://www.zhongchou.cn/deal-show/id-66661,38,212,188,29,368,7,"26,471","35,000",23,90,25,21,0,1
http://www.zhongchou.cn/deal-show/id-56119,50,32,90,67,"1,200",5,"14,711","20,150",14,90,12,7,0,1
http://www.zhongchou.cn/deal-show/id-67132,20,25,50,9,100,9,"10,031","30,000",25,90,9,16,1,1
http://www.zhongchou.cn/deal-show/id-74599,35,87,100,32,300,23,"39,868","20,000",6,60,82,38,0,1
http://www.zhongchou.cn/deal-show/id-90715,65,157,130,5,325,2,"12,156","10,000",28,45,36,6,0,1
http://www.zhongchou.cn/deal-show/id-71860,1,9,29,7,58,2,"11,440","20,000",25,80,3,9,0,1
http://www.zhongchou.cn/deal-show/id-73363,39,68,89,54,199,30,"52,225","50,000",42,90,22,22,1,1
http://www.zhongchou.cn/deal-show/id-83563,30,63,50,10,100,23,"11,890","10,000",41,60,14,58,0,1
http://www.zhongchou.cn/deal-show/id-95275,39,96,69,11,139,0,"6,188","5,000",25,30,7,43,0,1
http://www.zhongchou.cn/deal-show/id-100219,38,1,58,0,98,7,724,"1,688",55,60,1,13,0,1
http://www.zhongchou.cn/deal-show/id-42439,40,114,45,43,180,14,"34,575","30,000",10,112,18,11,0,1
http://www.zhongchou.cn/deal-show/id-68050,38,40,48,13,118,12,"5,208","20,000",1,62,15,24,0,1
http://www.zhongchou.cn/deal-show/id-94528,49,20,99,2,499,0,"7,172","50,000",52,60,1,3,0,1
http://www.zhongchou.cn/deal-show/id-96256,10,6,68,9,188,5,"2,490","20,000",26,30,4,0,0,1
http://www.zhongchou.cn/deal-show/id-90196,35,29,100,5,500,3,"3,015","20,000",17,35,9,7,0,1
http://www.zhongchou.cn/deal-show/id-100540,2,17,30,1,60,0,"2,074","20,000",22,25,1,1,1,1
http://www.zhongchou.cn/deal-show/id-88975,10,0,30,3,108,2,306,500,68,90,3,0,0,1
http://www.zhongchou.cn/deal-show/id-89683,68,10,298,3,598,1,"4,172","68,000",26,45,7,70,0,1
http://www.zhongchou.cn/deal-show/id-89704,18,9,50,3,100,7,"2,191","30,000",48,60,3,10,0,1
http://www.zhongchou.cn/deal-show/id-90685,1,44,25,50,25,1,547,500,13,30,11,0,0,1
http://www.zhongchou.cn/deal-show/id-94879,5,2,38,3,78,3,"1,686","30,000",35,45,1,2,0,1
http://www.zhongchou.cn/deal-show/id-64645,29,43,50,2,120,0,"3,347","50,000",25,90,3,7,0,1
http://www.zhongchou.cn/deal-show/id-78280,60,21,198,3,580,0,"1,893","300,000",41,60,7,51,0,1
http://www.zhongchou.cn/deal-show/id-49594,20,6,50,4,100,3,"24,020","24,000",21,90,7,31,0,1
http://www.zhongchou.cn/deal-show/id-82609,38,14,100,4,300,0,936,"50,000",32,45,7,2,0,1
