url,1_money,1_num,2_money,2_num,3_money,3_num,real_get_money,expected_money,real_time,whole_time,comment_num,share_num,video,image
http://www.zhongchou.cn/deal-show/id-86635,10,5,35,0,50,2,"1,455","1,780",5,17,1,4,1,1
http://www.zhongchou.cn/deal-show/id-94702,10,37,50,12,100,30,"4,022","10,000",20,30,1,10,0,1
http://www.zhongchou.cn/deal-show/id-95116,40,37,80,94,200,61,"45,224","20,000",19,30,4,7,1,1
http://www.zhongchou.cn/deal-show/id-100948,20,5,50,6,200,4,"3,102","6,000",17,20,1,3,0,1
http://www.zhongchou.cn/deal-show/id-73318,10,7,20,4,50,12,"4,422","10,000",16,60,14,15,0,1
http://www.zhongchou.cn/deal-show/id-18890,20,5,50,5,100,6,"4,239","6,100",14,30,1,17,0,1
http://www.zhongchou.cn/deal-show/id-96022,10,5,30,1,50,1,"1,583","2,000",26,30,1,2,0,1
http://www.zhongchou.cn/deal-show/id-59749,10,13,20,9,50,3,"1,783","3,000",19,35,6,7,1,1
http://www.zhongchou.cn/deal-show/id-94594,40,4,60,3,100,3,"1,120","2,000",27,30,1,1,0,1
http://www.zhongchou.cn/deal-show/id-86227,10,7,50,3,100,4,"3,046","4,800",9,29,3,6,1,1
http://www.zhongchou.cn/deal-show/id-89860,15,28,45,34,90,40,"22,770","16,785",10,20,9,32,0,1
http://www.zhongchou.cn/deal-show/id-99139,1,1,1,1,1,1,102,500,34,35,1,0,1,1
http://www.zhongchou.cn/deal-show/id-83296,10,89,54,29,90,24,"14,644","14,400",35,70,47,17,0,1
http://www.zhongchou.cn/deal-show/id-83053,2,9,60,4,100,8,"1,460","3,000",26,50,2,0,0,1
http://www.zhongchou.cn/deal-show/id-101506,3,24,30,17,60,4,"2,566","10,000",17,20,1,1,0,1
http://www.zhongchou.cn/deal-show/id-60121,1,47,10,32,50,17,"16,483","15,000",18,90,12,29,0,1
http://www.zhongchou.cn/deal-show/id-83161,3,43,30,46,150,12,"5,507","30,000",26,60,5,16,0,1
http://www.zhongchou.cn/deal-show/id-89647,1,31,50,6,100,2,"4,198","20,000",47,60,5,17,0,1
http://www.zhongchou.cn/deal-show/id-71773,1,16,10,9,20,18,"14,120","14,000",18,45,3,3,0,1
http://www.zhongchou.cn/deal-show/id-88123,20,4,100,8,"1,000",1,"2,632","10,000",71,90,6,8,0,1
http://www.zhongchou.cn/deal-show/id-72214,1,38,10,22,50,7,"4,376","4,000",37,90,9,130,0,1
http://www.zhongchou.cn/deal-show/id-82576,10,42,40,7,70,3,"2,001","2,000",2,25,3,0,1,1
http://www.zhongchou.cn/deal-show/id-90175,10,3,50,1,100,3,"6,312","6,200",7,20,3,2,0,1
http://www.zhongchou.cn/deal-show/id-90445,80,14,180,5,380,2,"3,749","100,000",74,90,1,1,0,1
