url,1_money,1_num,2_money,2_num,3_money,3_num,real_get_money,expected_money,real_time,whole_time,comment_num,share_num,video,image
http://www.zhongchou.cn/deal-show/id-81055,35,20,35,55,39,90,"28,107","20,000",02-05,03-22,132,104,0,1
http://www.zhongchou.cn/deal-show/id-82048,1,118,699,9,749,3,"12,651","5,000",02-10,03-22,41,10,0,1
http://www.zhongchou.cn/deal-show/id-53878,10,118,30,30,50,11,"10,334","10,000",02-05,03-22,27,4070,1,1
http://www.zhongchou.cn/deal-show/id-71773,1,16,10,10,20,18,"14,130","14,000",02-05,03-22,3,3,0,1
http://www.zhongchou.cn/deal-show/id-75130,30,16,80,33,120,10,"5,863","5,000",03-02,03-22,2,12,0,1
http://www.zhongchou.cn/deal-show/id-49594,20,6,50,4,100,3,"24,020","24,000",12-22,03-22,7,31,0,1
http://www.zhongchou.cn/deal-show/id-22531,169,317,199,115,319,205,"425,851","50,000",11-03,12-10,2114,135,1,1
http://www.zhongchou.cn/deal-show/id-71683,69,418,299,26,59,1000,"95,621","10,000",03-14,03-19,1128,53,1,1
http://www.zhongchou.cn/deal-show/id-83422,88,875,176,94,264,9,"888,976","880,000",02-15,03-09,86,34,0,1
http://www.zhongchou.cn/deal-show/id-18635,"3,600",500,"4,000",300,"36,000",10,"3,763,600","1,000,000",09-27,09-28,863,91,1,1
http://www.zhongchou.cn/deal-show/id-91864,9,2570,9,9,0,0,"23,147",699,03-06,03-18,291,4,0,1
http://www.zhongchou.cn/deal-show/id-81112,30,1691,90,156,100,32,"102,390","40,000",02-05,03-13,284,210,0,1
http://www.zhongchou.cn/deal-show/id-9195,350,44,589,59,689,0,"293,867","100,000",06-12,08-02,1216,449,1,1
http://www.zhongchou.cn/deal-show/id-32167,1,335,30,305,70,87,"404,209","400,000",11-21,01-20,416,1815,0,1
http://www.zhongchou.cn/deal-show/id-20353,5,175,150,1052,750,52,"866,675","150,000",10-14,11-13,194,138,0,1
http://www.zhongchou.cn/deal-show/id-17442,5,497,88,738,198,176,"193,877","50,000",09-15,10-20,783,78,0,1
http://www.zhongchou.cn/deal-show/id-67096,58,243,520,17,"2,450",7,"196,885","30,000",01-14,02-06,140,16,0,1
http://www.zhongchou.cn/deal-show/id-37669,2,150,50,670,100,245,"136,850","60,000",11-30,03-13,127,172,0,1
http://www.zhongchou.cn/deal-show/id-829,40,19,60,18059,120,19115,"5,074,780","5,000,000",09-27,12-01,711,11,0,0
http://www.zhongchou.cn/deal-show/id-18511,60,57,70,30,80,69,"81,746","3,000",09-22,10-22,1530,25,0,1
http://www.zhongchou.cn/deal-show/id-53908,220,38,580,27,580,15,"985,260","500,000",12-22,12-26,13,0,0,1
http://www.zhongchou.cn/deal-show/id-21446,1,2076,5,34,10,1,"19,406","2,000",10-30,12-29,414,12,1,1
http://www.zhongchou.cn/deal-show/id-24043,"1,280",230,"1,280",0,0,0,"294,400","80,000",11-12,12-17,316,5,1,1
http://www.zhongchou.cn/deal-show/id-10887,199,559,"4,000",50,99,1000,"434,241","300,000",07-14,08-13,786,124,1,1
http://www.zhongchou.cn/deal-show/id-62773,5,578,99,201,199,69,"104,034","100,000",01-08,03-10,122,71,0,1
http://www.zhongchou.cn/deal-show/id-86986,50,49,200,12,500,13,"132,649","130,000",02-26,03-19,60,9,1,1
http://www.zhongchou.cn/deal-show/id-77419,1,284,39,164,49,4,"15,977","5,000",02-03,03-20,159,18,0,1
http://www.zhongchou.cn/deal-show/id-48997,1,211,15,163,20,96,"200,045","200,000",12-24,02-10,56,23,1,1
http://www.zhongchou.cn/deal-show/id-48451,38,527,1,200,18,100,"41,330","30,000",12-19,01-18,160,30,0,1
http://www.zhongchou.cn/deal-show/id-94873,50,195,150,169,300,93,"100,000","90,000",03-10,03-17,1,0,0,1
http://www.zhongchou.cn/deal-show/id-13930,25,1161,70,22,888,10,"65,631","50,000",08-01,09-15,864,190,0,1
http://www.zhongchou.cn/deal-show/id-35110,32,354,68,81,88,25,"71,674","5,000",11-25,12-25,39,56,0,1
http://www.zhongchou.cn/deal-show/id-47305,88,4,88,4,88,0,"60,383","30,000",12-12,12-31,64,16,0,1
http://www.zhongchou.cn/deal-show/id-40015,100,160,300,26,300,21,"181,600","50,000",12-02,12-04,46,4,0,1
http://www.zhongchou.cn/deal-show/id-22459,1,620,200,61,"2,000",91,"194,820","10,000",11-09,11-30,5,13,1,1
http://www.zhongchou.cn/deal-show/id-22065,269,136,"2,190",4,"20,900",3,"320,944","200,000",11-05,11-30,180,35,0,1
http://www.zhongchou.cn/deal-show/id-48598,59,317,99,99,259,62,"301,857","300,000",12-17,01-31,23,51,0,1
http://www.zhongchou.cn/deal-show/id-21918,1,311,188,130,"1,058",64,"523,247","500,000",10-30,12-09,25,17,0,1
http://www.zhongchou.cn/deal-show/id-48547,1,9,25,112,45,27,"34,824","2,000",01-16,03-11,92,8,1,1
http://www.zhongchou.cn/deal-show/id-64951,58,700,198,280,498,10,"100,963","30,000",01-09,01-21,8,20,0,1
http://www.zhongchou.cn/deal-show/id-17347,99,25,128,12,255,36,"300,849","300,000",10-09,11-08,131,20,0,1
http://www.zhongchou.cn/deal-show/id-46531,1,323,49,46,199,43,"53,190","10,000",12-15,01-14,74,42,1,1
http://www.zhongchou.cn/deal-show/id-63487,28,559,56,55,159,21,"31,042","20,000",01-07,02-06,128,24,0,1
http://www.zhongchou.cn/deal-show/id-19758,"4,000",25,"1,500",10,"3,000",50,"355,002","15,000",10-31,12-30,198,24,0,1
http://www.zhongchou.cn/deal-show/id-68029,"1,900",19,"2,200",3,"2,260",2,"138,874","50,000",01-16,02-25,102,34,0,1
http://www.zhongchou.cn/deal-show/id-40048,1,33,100,115,200,85,"87,556","60,000",12-12,03-13,90,61,0,1
http://www.zhongchou.cn/deal-show/id-59146,1,109,18,124,56,94,"25,729","20,000",01-04,02-03,223,32,0,1
http://www.zhongchou.cn/deal-show/id-1199,520,3744,"1,040",1546,"1,560",155,"6,211,933","5,200,000",11-10,11-22,143,53,0,0
http://www.zhongchou.cn/deal-show/id-58003,39,489,199,12,398,5,"49,512","30,000",12-30,01-31,58,74,0,1
http://www.zhongchou.cn/deal-show/id-17039,1,21,100,18,"1,050",49,"1,032,431","1,000,000",09-05,09-15,8,10,0,1
http://www.zhongchou.cn/deal-show/id-27787,50,325,95,100,150,146,"312,416","200,000",11-16,01-27,7,0,0,1
http://www.zhongchou.cn/deal-show/id-34804,38,260,108,63,388,21,"65,986","60,000",12-18,02-16,43,17,0,1
http://www.zhongchou.cn/deal-show/id-19271,10,78,899,4,"1,099",16,"89,307","10,000",10-17,12-06,216,26,1,1
http://www.zhongchou.cn/deal-show/id-35770,118,124,198,27,398,30,"154,728","150,000",11-26,01-02,34,21,1,1
http://www.zhongchou.cn/deal-show/id-55303,29,41,99,36,299,61,"143,281","129,000",12-30,01-29,25,36,0,1
http://www.zhongchou.cn/deal-show/id-21411,1,177,35,71,129,36,"118,086","100,000",10-28,11-27,46,16,1,1
http://www.zhongchou.cn/deal-show/id-17479,299,9,499,20,"2,299",6,"112,865","50,000",09-22,11-21,374,57,0,1
http://www.zhongchou.cn/deal-show/id-41998,280,60,380,148,580,28,"240,880","100,000",12-04,01-15,14,11,0,1
http://www.zhongchou.cn/deal-show/id-10675,999,26,"1,200",85,"2,000",79,"285,974","50,000",07-10,08-09,525,74,1,1
http://www.zhongchou.cn/deal-show/id-10830,58,189,298,35,522,1,"1,271,230","1,000,000",07-07,08-27,105,50,0,1
http://www.zhongchou.cn/deal-show/id-66010,10,100,50,65,100,144,"43,352","30,000",01-12,03-16,14,30,0,1
http://www.zhongchou.cn/deal-show/id-24151,1,83,29,4,649,11,"68,891","20,000",12-08,12-23,70,24,1,1
http://www.zhongchou.cn/deal-show/id-48721,180,30,380,18,680,6,"966,940","600,000",12-10,12-16,1,0,0,1
http://www.zhongchou.cn/deal-show/id-49825,300,134,350,109,630,50,"109,850","80,000",12-17,12-22,13,0,0,1
http://www.zhongchou.cn/deal-show/id-75196,10,37,50,31,100,14,"15,531","10,000",01-30,03-16,87,16,1,1
http://www.zhongchou.cn/deal-show/id-39013,20,45,50,23,100,54,"90,690","80,000",12-03,02-21,44,48,0,1
http://www.zhongchou.cn/deal-show/id-21071,20,102,60,28,150,53,"109,065","100,000",11-01,01-20,70,162,1,1
http://www.zhongchou.cn/deal-show/id-18275,128,26,149,8,168,5,"191,147","3,000",10-11,12-05,34,12,0,1
http://www.zhongchou.cn/deal-show/id-32896,99,185,594,92,"2,970",24,"179,883","99,000",11-24,12-08,53,17,0,1
http://www.zhongchou.cn/deal-show/id-44419,100,122,500,89,"1,000",58,"140,700","60,000",12-08,12-11,5,1,0,1
http://www.zhongchou.cn/deal-show/id-53989,50,53,100,66,300,59,"175,650","90,000",12-13,01-09,16,0,0,1
http://www.zhongchou.cn/deal-show/id-17714,10,4,50,164,100,43,"206,366","200,000",09-15,11-01,165,57,1,1
http://www.zhongchou.cn/deal-show/id-23938,5,19,40,2,399,35,"78,513","20,000",12-03,01-02,54,13,1,1
http://www.zhongchou.cn/deal-show/id-33382,490,57,980,24,"1,960",19,"197,291","196,800",11-24,12-12,67,24,0,1
http://www.zhongchou.cn/deal-show/id-19162,1,125,99,36,470,21,"246,059","200,000",11-04,12-14,51,29,1,1
http://www.zhongchou.cn/deal-show/id-14532,350,44,600,50,800,20,"1,002,900","1,000,000",08-14,08-15,26,25,0,1
http://www.zhongchou.cn/deal-show/id-47737,3,34,29,79,57,11,"13,276","10,000",01-12,02-26,268,3,0,1
http://www.zhongchou.cn/deal-show/id-72037,1,30,68,53,460,41,"51,954","5,000",01-23,02-16,45,15,0,1
