url,1_money,1_num,2_money,2_num,3_money,3_num,real_get_money,expected_money,real_time,whole_time,comment_num,share_num,video,image
http://www.zhongchou.cn/deal-show/id-85822,99,34,299,11,599,3,"28,160","50,000",72,90,287,47,1,1
http://www.zhongchou.cn/deal-show/id-98398,10,29,50,16,100,23,"5,291","8,000",15,20,3,2,1,1
http://www.zhongchou.cn/deal-show/id-102253,10,1,180,0,280,0,"20,011","100,000",8,10,1,0,0,1
http://www.zhongchou.cn/deal-show/id-89818,1,83,50,58,100,64,"68,637","30,000",11,30,12,3,0,1
http://www.zhongchou.cn/deal-show/id-82732,1,231,88,28,199,20,"10,273","100,000",52,90,28,27,0,1
http://www.zhongchou.cn/deal-show/id-99178,20,4,50,3,100,5,"1,932","6,000",11,15,1,2,1,1
http://www.zhongchou.cn/deal-show/id-94993,5,99,50,13,100,51,"14,390","100,000",65,76,4,14,0,1
http://www.zhongchou.cn/deal-show/id-71269,10,46,20,12,50,19,"101,244","100,000",4,64,14,23,0,1
http://www.zhongchou.cn/deal-show/id-54595,50,11,100,11,500,2,"4,100","8,000",30,90,4,8,0,1
http://www.zhongchou.cn/deal-show/id-78496,10,80,50,35,100,26,"10,451","9,999",72,90,15,12,1,1
http://www.zhongchou.cn/deal-show/id-83404,1,70,20,25,50,31,"10,719","6,000",28,50,10,3,0,1
http://www.zhongchou.cn/deal-show/id-89356,10,64,50,33,100,43,"21,821","20,000",7,25,6,18,1,1
http://www.zhongchou.cn/deal-show/id-79630,10,44,50,16,100,15,"32,200","30,000",44,90,24,16,1,1
http://www.zhongchou.cn/deal-show/id-98878,100,12,500,18,"1,000",5,"24,301","10,000",9,15,2,4,0,1
http://www.zhongchou.cn/deal-show/id-94885,10,29,58,5,98,27,"14,836","10,000",5,10,1,1,0,1
http://www.zhongchou.cn/deal-show/id-56962,10,8,20,2,30,7,"1,036","2,000",8,90,37,15,1,1
http://www.zhongchou.cn/deal-show/id-93334,9,13,69,23,500,8,"6,134","52,400",79,90,5,8,0,1
http://www.zhongchou.cn/deal-show/id-93556,1,9,25,1,50,7,"15,350","15,000",23,32,1,1,0,1
http://www.zhongchou.cn/deal-show/id-83434,100,11,120,0,"1,111",0,"1,100","3,000",1,33,3,3,0,1
http://www.zhongchou.cn/deal-show/id-85813,1,31,20,25,50,9,"5,101","50,000",71,90,1,3,1,1
http://www.zhongchou.cn/deal-show/id-88633,100,4,120,3,499,0,760,"1,000",8,28,1,2,0,1
http://www.zhongchou.cn/deal-show/id-88669,60,8,80,0,499,0,480,"1,000",15,28,1,0,0,1
http://www.zhongchou.cn/deal-show/id-80392,1,2,10,0,360,0,"1,762","5,000",41,78,2,5,0,1
http://www.zhongchou.cn/deal-show/id-90310,50,4,100,7,300,4,"4,362","300,000",52,60,7,53,1,1
http://www.zhongchou.cn/deal-show/id-95197,280,1,456,0,646,0,"25,890","5,000",1,12,1,0,0,1
http://www.zhongchou.cn/deal-show/id-93325,5,0,56,3,180,0,"4,248","300,000",56,60,1,0,1,1
